model_name,n_layer,d_model,n_params,dataset_size,val_loss,train_loss,gen_gap,training_time_sec
L1_D64,1,64,6549905,1000,10.968771253313337,10.977823376655579,-0.009052123342241813,5.490650415420532
L1_D64,1,64,6549905,2000,10.952722842876728,10.979677805824885,-0.02695496294815669,3.659000873565674
L1_D64,1,64,6549905,5000,10.904123544692993,10.957571309083587,-0.05344776439059373,8.03864860534668
L1_D64,1,64,6549905,10000,10.817318325950986,10.903739380760316,-0.08642105480933004,16.093411207199097
L1_D64,1,64,6549905,20000,10.71154266357422,10.836977870178222,-0.12543520660400276,32.37997555732727
L1_D64,1,64,6549905,50000,10.425390563452968,10.706595624019455,-0.28120506056648686,81.21307182312012
L2_D128,2,128,13445201,1000,10.979911259242467,10.981056213378906,-0.0011449541364392246,2.094653367996216
L2_D128,2,128,13445201,2000,10.946857599111704,10.979010264078775,-0.03215266496707159,3.9607837200164795
L2_D128,2,128,13445201,5000,10.86737596988678,10.938062218344136,-0.07068624845735627,9.920384645462036
L2_D128,2,128,13445201,10000,10.814031631227524,10.891884063379452,-0.0778524321519285,19.806872129440308
L2_D128,2,128,13445201,20000,10.754205963134766,10.84454231414795,-0.0903363510131836,39.50806403160095
L2_D128,2,128,13445201,50000,10.598867200053157,10.75763522884591,-0.1587680287927533,98.66049098968506
L4_D256,4,256,29995601,1000,10.948759078979492,10.982725501060486,-0.03396642208099365,3.0619211196899414
L4_D256,4,256,29995601,2000,10.917408282940205,10.96982168772864,-0.05241340478843526,6.161876916885376
L4_D256,4,256,29995601,5000,10.863566637039185,10.911165383211367,-0.047598746172182516,15.324110507965088
L4_D256,4,256,29995601,10000,10.788761804974268,10.87722438288192,-0.08846257790765222,30.597845315933228
L4_D256,4,256,29995601,20000,10.660695220947266,10.81065412902832,-0.14995890808105372,60.95837640762329
L4_D256,4,256,29995601,50000,10.351766089661815,10.652117716373729,-0.3003516267119135,152.36858558654785
L6_D384,6,384,52847185,1000,10.957834243774414,10.982901155948639,-0.025066912174224854,4.766596794128418
L6_D384,6,384,52847185,2000,10.909430723923903,10.962560229831272,-0.053129505907369534,9.52245306968689
L6_D384,6,384,52847185,5000,10.866673290729523,10.898912514850592,-0.03223922412106894,23.838635444641113
L6_D384,6,384,52847185,10000,10.775852960253518,10.861465438867148,-0.08561247861362986,47.745927810668945
L6_D384,6,384,52847185,20000,10.579695007324219,10.769683062744141,-0.18998805541992247,95.19843792915344
L6_D384,6,384,52847185,50000,10.058448630019118,10.546286162549078,-0.4878375325299604,238.12585616111755
L8_D512,8,512,85145681,1000,10.967876434326172,10.982255935668945,-0.014379501342773438,6.753361940383911
L8_D512,8,512,85145681,2000,10.891152455256535,10.959083133273655,-0.06793067801712027,13.739084482192993
L8_D512,8,512,85145681,5000,10.831345438957214,10.903740238991512,-0.07239480003429755,34.583669900894165
L8_D512,8,512,85145681,10000,10.700275890410893,10.850981989607643,-0.15070609919674993,69.24246573448181
L8_D512,8,512,85145681,20000,10.471273315429688,10.72417946472168,-0.2529061492919915,137.9910204410553
L8_D512,8,512,85145681,50000,9.613804771496465,10.388824063848396,-0.7750192923519315,345.93053579330444
L12_D768,12,768,190666321,1000,10.970496586390905,10.99716979265213,-0.0266732062612256,13.310485124588013
L12_D768,12,768,190666321,2000,10.964808243971605,10.986885676308283,-0.022077432336677916,27.40036916732788
L12_D768,12,768,190666321,5000,10.871163249015808,10.937029413356903,-0.06586616434109516,69.94459247589111
L12_D768,12,768,190666321,10000,11.543549946376256,11.00972841951413,0.5338215268621269,140.25493335723877
L12_D768,12,768,190666321,20000,14.550725090026855,11.880165185546876,2.6705599044799797,279.6813838481903
L12_D768,12,768,190666321,50000,22.736534977873294,16.264939306336036,6.4715956715372585,697.5783729553223
